user,team,feature,queries,date
vidya,devops,code_generation,5,2026-03-01
vidya,devops,debug_help,3,2026-03-02
vidya,devops,explain_code,4,2026-03-03
dev1,backend,code_generation,6,2026-03-01
dev1,backend,debug_help,2,2026-03-04
dev2,backend,explain_code,5,2026-03-05
dev2,backend,code_generation,3,2026-03-06
dev3,qa,debug_help,4,2026-03-02
dev3,qa,code_generation,2,2026-03-07
vidya,devops,code_generation,7,2026-03-08
dev1,backend,explain_code,3,2026-03-09
dev2,backend,debug_help,6,2026-03-10
dev3,qa,explain_code,2,2026-03-11
